เดรสผู้หญิง,เสื้อผ้าผู้หญิง,1190,เดรสผู้หญิงผ้าซาติน ดีไซน์หรู เหมาะงานเซมิฟอร์มอล,LadyStyle,4.3,"เดรส,ผู้หญิง,ซาติน,หรู",https://s.shopee.co.th/9pTf6aehtC
รองเท้าผ้าใบผู้ชาย,รองเท้าผู้ชาย,1590,รองเท้าผ้าใบผู้ชาย พื้นนิ่ม ใส่สบาย เดินได้ทั้งวัน,ShoeComfort,4.4,"รองเท้าผ้าใบ,ผู้ชาย,พื้นนิ่ม,สบาย",https://s.shopee.co.th/8fHhiRj9Ft
รองเท้าส้นสูงผู้หญิง,รองเท้าผู้หญิง,1290,รองเท้าส้นสูงผู้หญิง หนังแท้ ส้น 3 นิ้ว สวยหรู,HeelGlam,4.2,"รองเท้าส้นสูง,ผู้หญิง,หนังแท้,3นิ้ว",https://s.shopee.co.th/9fAEuHfLEB
นาฬิกาสมาร์ทวอทช์,นาฬิกาแว่นตา,3490,นาฬิกาสมาร์ทวอทช์ วัดหัวใจ GPS กันน้ำ,SmartTime,4.5,"นาฬิกา,สมาร์ท,วัดหัวใจ,GPS",https://s.shopee.co.th/9zn5Ite4YH
แว่นตากันแดด,นาฬิกาแว่นตา,890,แว่นตากันแดด UV400 เลนส์โพลาไรซ์ ใส่สบาย,SunGlass,4.1,"แว่นตา,กันแดด,UV400,โพลาไรซ์",https://s.shopee.co.th/9zn5Ite4YH
กล้องดิจิทัล Mirrorless,กล้อง,25900,กล้องดิจิทัล Mirrorless 24MP 4K Video คุณภาพสูง,CameraPro,4.7,"กล้อง,ดิจิทัล,Mirrorless,24MP,4K",https://s.shopee.co.th/AUjLtocAXO
เลนส์กล้อง 50mm,กล้อง,8900,เลนส์กล้อง 50mm f1.8 เบลอได้สวย ถ่ายพอร์ตเทรต,LensMaster,4.6,"เลนส์,50mm,f1.8,พอร์ตเทรต",https://s.shopee.co.th/AUjLtocAXO
โน๊ตบุ๊ค Gaming 15.6 นิ้ว,คอมพิวเตอร์,35900,โน๊ตบุ๊ค Gaming 15.6 นิ้ว RTX4060 RAM16GB SSD512GB,GameLaptop,4.8,"โน๊ตบุ๊ค,Gaming,RTX4060,RAM16GB",https://s.shopee.co.th/60GwXXtIfd
เมาส์เกมมิ่ง RGB,คอมพิวเตอร์,1290,เมาส์เกมมิ่ง RGB 16000DPI ปรับน้ำหนักได้,MousePro,4.4,"เมาส์,เกมมิ่ง,RGB,16000DPI",https://s.shopee.co.th/60GwXXtIfd
ผลิตภัณฑ์เสริมอาหาร วิตามินซี,สุขภาพ,450,ผลิตภัณฑ์เสริมอาหาร วิตามินซี 1000mg เสริมภูมิคุ้มกัน,HealthPlus,4.3,"วิตามินซี,1000mg,สุขภาพ,ภูมิคุ้มกัน",https://s.shopee.co.th/8020vDlgbh
อาหารเสริมโปรตีน,สุขภาพ,1890,อาหารเสริมโปรตีน เวย์โปรตีน รสวานิลลา สร้างกล้ามเนื้อ,MuscleFit,4.5,"โปรตีน,เวย์,วานิลลา,กล้ามเนื้อ",https://s.shopee.co.th/8020vDlgbh
น้ำมันมะพร้าวบริสุทธิ์,อาหารเครื่องดื่ม,290,น้ำมันมะพร้าวบริสุทธิ์ 100% ธรรมชาติ ไม่ผ่านการแปรรูป,CoconutPure,4.6,"น้ำมันมะพร้าว,บริสุทธิ์,100%,ธรรมชาติ",https://s.shopee.co.th/AKPvhVcnsN
กาแฟคั่วบด Arabica,อาหารเครื่องดื่ม,350,กาแฟคั่วบด Arabica 100% รสชาติหอมกรุ่น,CoffeeBean,4.4,"กาแฟ,Arabica,100%,หอมกรุ่น",https://s.shopee.co.th/AKPvhVcnsN
เครื่องปั่นน้ำผลไม้,เครื่องใช้ไฟฟ้า,1890,เครื่องปั่นน้ำผลไม้ 500W ใบมีด 6 ใบ ปั่นละเอียด,BlenderMax,4.3,"เครื่องปั่น,500W,6ใบ,น้ำผลไม้",https://s.shopee.co.th/8KerJpkPvn
เครื่องทำกาแฟ,เครื่องใช้ไฟฟ้า,5890,เครื่องทำกาแฟแบบเอสเปรสโซ่ ความดัน 15 บาร์,CoffeeMaker,4.7,"เครื่องทำกาแฟ,เอสเปรสโซ่,15บาร์",https://s.shopee.co.th/8KerJpkPvn
ลูกฟุตบอล FIFA,กีฬา,890,ลูกฟุตบอลมาตรฐาน FIFA Size 5 หนังแท้ ใช้แข่งได้,SoccerPro,4.5,"ลูกฟุตบอล,FIFA,Size5,หนังแท้",https://s.shopee.co.th/6Ktmw9s1zj
